fileid,start,end,other,state
2013-08-29 10_48 p01.m70,0,25,,
2013-08-29 11_23 p02.m70,7,0,,
2013-08-29 11_44 p20.m70,0,6,,
2013-08-29 11_53 p03.m70,6,16,,
2013-08-29 12_25 p04.m70,0,27,,
2013-08-29 12_56 p05.m70,6,0,,
2013-08-29 13_00 p17.m70,6,7,,
2013-08-29 13_52 p06.m70,15,0,,
2013-08-29 13_52 p16.m70,0,3,,
2013-08-30 15_02 p12.m70,22,0,,
2013-08-30 15_04 p08.m70,12,0,,
2013-08-30 15_11 p12.m70,6,0,,
2013-08-30 15_39 p13.m70,15,0,,
2013-08-30 15_40 p09.m70,13,0,,
2013-08-30 16_34 p07.m70,18,0,,
