date,ID_camp,ID_camp_co2,plot,weather,time,h,Pchb,Tchb,CH4,remarks
2013-04-23,1,2,2,,9:07:08,31,1007.9,29.7,6.5736050178,
2013-04-23,1,2,2,,9:29:50,31,1007.8,27.8,3.9499540377,
2013-04-23,1,2,2,,9:48:50,31,1007.8,26.3,5.2591260726,
2013-04-23,1,2,2,,10:04:00,31,1007.8,26.3,8.1364061133,
2013-04-23,1,2,1,,10:46:22,31,1005.6,28,7.5576008604,
2013-04-23,1,2,1,,11:01:56,31,1007.6,28.5,11.051929956,
2013-04-23,1,2,ETREPEE,,13:40:00,31,1007.8,25.8,18.2348300171,
2013-04-23,1,2,6,,14:02:15,31,1007.5,23,5.2730480559,
2013-04-23,1,2,5',,14:20:00,31,1008.2,24,1.9826965968,
2013-04-23,1,2,"5""",,15:03:15,31,1007.2,24.7,-16.1564228223,
2013-04-23,1,2,3,,15:35:30,31,1006.9,20,23.9297919213,
2013-04-23,1,2,3,,16:19:45,31,1007,19,17.7671453973,
2013-04-23,1,2,5,,16:59:30,31,1006,17.3,8.0366794515,
2013-04-24,1,2,2,,8:59:45,31,1010.5,23,5.419728327,
2013-04-24,1,2,6,,9:49:20,31,1010.5,26.3,4.0457751659,
2013-04-24,1,2,ETREPEE,,10:08:30,31,1010.5,26.3,20.4451870911,
2013-04-24,1,2,ETREPEE,,12:16:15,31,1009,35,21.4467240133,
2013-04-24,1,2,5',,10:42:00,31,1009.8,29.9,3.7689258636,
2013-04-24,1,2,5',,10:54:00,31,1010,28.3,3.5699196609,
2013-04-24,1,2,5,,11:34:30,31,1009.5,35.7,7.0103632349,
2013-04-24,1,2,5,,11:45:00,31,1009.3,34.9,7.0638111763,
2013-04-24,1,2,"5""",,13:24:45,31,1009.5,32.4,4.6050343326,
2013-04-24,1,2,3,,14:02:30,31,1008,33,11.442270343,
2013-04-24,1,2,3,,14:16:30,31,1008.3,31.6,11.2467212217,
2013-04-24,1,2,4,,14:35:50,31,1008.1,33,16.1140329732,
2013-04-24,1,2,1,,,31,1008.1,27,9.0360957168,
2013-06-11,2,4,2,cloudy,8:49:05,31,1002.6,20.4,57.7,
2013-06-11,2,4,2,cloudy,9:02:30,31,1002.2,22.4,82.4,
2013-06-11,2,4,ETREPEE,cloudy,9:38:10,31,1002,22,55.7,
2013-06-11,2,4,6,cloudy,10:23:20,31,1002.2,22.6,22.4,
2013-06-11,2,4,5,cloudy,11:58:15,31,1002.3,25.5,27.4,
2013-06-11,2,4,5,cloudy,12:11:20,31,1002.3,23.7,29.9,
2013-06-11,2,4,"5""",cloudy,12:20:00,31,1002.7,24.2,54.4,
