date,heure,idmesure,replicat,area_mm2
2014-03-10,08:30:00,1,calib,504.113
2014-03-10,08:30:00,1,1,282.317
2014-03-10,08:30:00,1,2,520.488
2014-03-10,08:30:00,1,3,241.885
2014-03-10,08:30:00,1,4,753.520
2014-03-10,08:30:00,1,5,548.302
2014-03-10,08:55:00,1,calib,504.580
2014-03-10,08:55:00,1,6,655.359
2014-03-10,08:55:00,1,7,313.031
2014-03-10,08:55:00,1,8,711.016
2014-03-10,08:55:00,1,9,326.382
2014-03-10,08:55:00,1,10,1023.267
2014-03-11,09:25:00,2,calib,506.882
2014-03-11,09:25:00,2,1,174.431
2014-03-11,09:25:00,2,2,363.825
2014-03-11,09:25:00,2,3,141.223
2014-03-11,09:25:00,2,4,563.094
2014-03-11,09:25:00,2,5,339.315
2014-03-11,09:15:00,2,calib,507.386
2014-03-11,09:15:00,2,6,428.004
2014-03-11,09:15:00,2,7,194.205
2014-03-11,09:15:00,2,8,458.324
2014-03-11,09:15:00,2,9,223.561
2014-03-11,09:15:00,2,10,702.105
2014-03-12,16:45:00,3,calib,507.453
2014-03-12,16:45:00,3,1,174.463
2014-03-12,16:45:00,3,2,363.884
2014-03-12,16:45:00,3,3,141.364
2014-03-12,16:45:00,3,4,559.911
2014-03-12,16:45:00,3,5,340.439
2014-03-12,16:50:00,3,calib,506.794
2014-03-12,16:50:00,3,6,423.776
2014-03-12,16:50:00,3,7,192.457
2014-03-12,16:50:00,3,8,455.551
2014-03-12,16:50:00,3,9,222.658
2014-03-12,16:50:00,3,10,698.881
