,embase,veg,replicatTerrain,replicatMesure,longueur_mm,calib_mm2,area_mm2,Msec_mg
2013-10-11,2,molinie,C,1,305,504.464,652.630,85.70
2013-10-11,2,molinie,C,2,226,504.869,219.120,46.51
2013-10-11,2,molinie,C,3,109,507.724,106.395,12.62
2013-10-11,2,molinie,B,1,200,505.025,348.115,31.14
2013-10-11,2,molinie,B,2,154,503.922,261.490,22.36
2013-10-11,2,molinie,B,3,170,,,25.70
2013-10-11,2,molinie,B,4,141,505.188,214.144,26.18
2013-10-11,2,molinie,B,5,175,505.188,374.469,33.21
2013-10-11,2,molinie,B,6,174,505.188,252.982,33.37
2013-10-11,2,molinie,B,7,70,505.188,86.245,7.03
2013-10-11,2,molinie,A,1,187,508.216,493.438,39.22
2013-10-11,2,molinie,A,2,179,508.216,443.157,41.13
2013-10-11,2,molinie,A,3,153,508.216,355.076,27.04
2013-10-11,2,molinie,A,4,239,508.216,611.825,59.49
2013-10-11,2,molinie,A,5,246,508.216,742.026,71.27
2013-10-11,2,molinie,A,6,224,508.216,637.254,55.50
2013-10-11,1,molinie,E,1,150,508.164,107.922,16.20
2013-10-11,1,molinie,E,2,111,508.164,99.276,10.07
2013-10-11,1,molinie,E,3,237,508.164,370.689,32.55
2013-10-11,1,molinie,E,4,246,508.164,272.425,31.40
2013-10-11,1,molinie,E,5,249,508.164,288.443,40.11
2013-10-11,1,molinie,E,6,234,508.164,299.540,43.63
2013-10-11,1,molinie,E,7,301,508.164,348.560,48.82
2013-10-11,1,molinie,B,1,98,508.092,156.272,9.68
2013-10-11,1,molinie,B,2,73,508.092,126.648,11.85
2013-10-11,1,molinie,B,3,206,508.092,215.626,38.88
2013-10-11,1,molinie,B,4,289,508.092,571.700,62.48
2013-10-11,1,molinie,C,1,122,506.766,231.789,24.35
2013-10-11,1,molinie,C,2,165,506.766,347.615,34.17
2013-10-11,1,molinie,C,3,205,506.766,491.397,49.92
2013-10-11,1,molinie,C,4,267,506.766,556.385,45.16
2013-10-11,1,molinie,B,5,246,507.480,458.319,50.70
2013-10-11,1,molinie,B,6,215,507.480,526.383,51.94
2013-10-11,1,molinie,B,7,187,507.480,420.742,37.94
2013-10-11,1,molinie,B,8,231,507.480,576.339,55.51
2013-10-11,1,molinie,B,9,193,507.480,364.488,31.83
2013-10-11,1,molinie,A,1,200,508.259,468.554,46.05
2013-10-11,1,molinie,A,2,207,508.259,482.072,47.71
2013-10-11,1,molinie,A,3,224,508.259,559.638,63.87
2013-10-11,1,molinie,A,4,231,508.259,620.229,62.58
2013-10-11,1,molinie,A,5,204,508.259,459.371,45.79
2013-10-24,x,molinie,D,1,569,510.179,1219.328,116.39
2013-10-24,x,molinie,D,2,526,510.179,1294.247,123.97
2013-10-24,x,molinie,C,1,472,508.476,788.364,78.56
2013-10-24,x,molinie,C,2,450,508.476,852.48,70.53
2013-10-24,x,molinie,C,3,419,508.476,856.006,73.91
2013-10-24,x,molinie,B,1,556,508.433,1569.226,137.98
2013-10-11,5,molinie,C,1,350,504.559,881.304,95.93
2013-10-11,5,molinie,C,2,277,504.559,673.663,64.46
2013-10-11,5,molinie,B,1,182,507.841,489.918,37.96
2013-10-11,5,molinie,B,2,287,507.841,448.050,45.17
2013-10-11,5,molinie,B,3,137,507.841,205.372,24.10
2013-10-11,5,molinie,A,1,146,508.476,271.316,20.05
2013-10-11,5,molinie,A,2,85,508.476,142.217,12.85
2013-10-11,5,molinie,A,3,151,508.476,197.700,27.34
2013-10-11,5,molinie,A,4,111,508.476,231.783,28.31
2013-10-11,5,molinie,A,5,265,508.476,577.260,54.32
2013-10-11,5,molinie,A,6,256,508.476,736.442,72.69
2013-10-11,4,molinie,D,1,195,507.580,575.918,53.10
2013-10-11,4,molinie,D,2,114,507.580,212.238,17.69
2013-10-11,4,molinie,D,3,173,507.580,401.971,41.74
2013-10-11,4,molinie,C,1,140,507.760,333.002,29.51
2013-10-11,4,molinie,C,2,159,507.760,439.958,37.89
2013-10-11,4,molinie,B,1,39,503.934,53.782,4.65
2013-10-11,4,molinie,B,2,98,503.934,178.286,15.13
2013-10-11,4,molinie,B,3,61,503.934,92.937,5.95
2013-10-11,4,molinie,A,1,236,507.464,602.839,43.80
2013-10-11,4,molinie,A,2,167,507.464,558.451,56.36
2013-10-11,4,molinie,A,3,111,507.464,272.598,22.78
2013-10-11,4,molinie,A,4,224,507.464,455.255,33.61
2013-10-11,Cch,molinie,A,1,91,507.259,239.321,
2014-03-07,Cch,molinie,A,2,243,507.259,905.584,
2014-03-07,Cch,molinie,A,3,176,507.259,635.353,
2014-03-07,Cch,molinie,A,4,54,507.259,138.793,
2014-03-07,Cch,molinie,A,5,396,504.559,811.666,
