IDech,typeVeg,rep,height,embase,cal_val,localisation
1,erica,h1,47,NA,cal,lab
1,erica,h2,41,NA,cal,lab
1,erica,h3,46,NA,cal,lab
1,erica,h4,44,NA,cal,lab
1,erica,h5,35,NA,cal,lab
1,erica,h6,44,NA,cal,lab
1,erica,h7,46,NA,cal,lab
1,erica,h8,37,NA,cal,lab
1,erica,h9,42,NA,cal,lab
1,erica,h10,40,NA,cal,lab
1,erica,h11,53,NA,cal,lab
1,erica,h12,49,NA,cal,lab
2,caluna,h1,79,NA,cal,lab
2,caluna,h2,53,NA,cal,lab
2,caluna,h3,44,NA,cal,lab
2,caluna,h4,56,NA,cal,lab
2,caluna,h5,75,NA,cal,lab
2,caluna,h6,60,NA,cal,lab
2,caluna,h7,54,NA,cal,lab
2,caluna,h8,59,NA,cal,lab
2,caluna,h9,64,NA,cal,lab
2,caluna,h10,69,NA,cal,lab
2,caluna,h11,61,NA,cal,lab
2,caluna,h12,48,NA,cal,lab
3,erica,h1,57,NA,cal,lab
3,erica,h2,58,NA,cal,lab
3,erica,h3,48,NA,cal,lab
3,erica,h4,51,NA,cal,lab
3,erica,h5,56,NA,cal,lab
3,erica,h6,56,NA,cal,lab
3,erica,h7,49,NA,cal,lab
3,erica,h8,56,NA,cal,lab
3,erica,h9,59,NA,cal,lab
3,erica,h10,45,NA,cal,lab
3,erica,h11,55,NA,cal,lab
3,erica,h12,49,NA,cal,lab
4,erica,h1,39,NA,cal,lab
4,erica,h2,36,NA,cal,lab
4,erica,h3,35,NA,cal,lab
4,erica,h4,44,NA,cal,lab
4,erica,h5,26,NA,cal,lab
4,erica,h6,24,NA,cal,lab
4,erica,h7,38,NA,cal,lab
4,erica,h8,36,NA,cal,lab
4,erica,h9,31,NA,cal,lab
4,erica,h10,37,NA,cal,lab
4,erica,h11,30,NA,cal,lab
4,erica,h12,38,NA,cal,lab
5,erica,h1,29,NA,cal,lab
5,erica,h2,35,NA,cal,lab
5,erica,h3,30,NA,cal,lab
5,erica,h4,25,NA,cal,lab
5,erica,h5,31,NA,cal,lab
5,erica,h6,27,NA,cal,lab
5,erica,h7,28,NA,cal,lab
5,erica,h8,25,NA,cal,lab
5,erica,h9,29,NA,cal,lab
5,erica,h10,30,NA,cal,lab
5,erica,h11,30,NA,cal,lab
5,erica,h12,23,NA,cal,lab
6,erica,h1,33,NA,cal,lab
6,erica,h2,29,NA,cal,lab
6,erica,h3,33,NA,cal,lab
6,erica,h4,26,NA,cal,lab
6,erica,h5,26,NA,cal,lab
6,erica,h6,35,NA,cal,lab
6,erica,h7,30,NA,cal,lab
6,erica,h8,21,NA,cal,lab
6,erica,h9,38,NA,cal,lab
6,erica,h10,24,NA,cal,lab
6,erica,h11,29,NA,cal,lab
6,erica,h12,26,NA,cal,lab
7,erica,h1,48,NA,cal,lab
7,erica,h2,31,NA,cal,lab
7,erica,h3,27,NA,cal,lab
7,erica,h4,26,NA,cal,lab
7,erica,h5,17,NA,cal,lab
7,erica,h6,35,NA,cal,lab
7,erica,h7,32,NA,cal,lab
7,erica,h8,25,NA,cal,lab
7,erica,h9,33,NA,cal,lab
7,erica,h10,41,NA,cal,lab
7,erica,h11,27,NA,cal,lab
7,erica,h12,37,NA,cal,lab
8,erica,h1,38,NA,cal,lab
8,erica,h2,40,NA,cal,lab
8,erica,h3,40,NA,cal,lab
8,erica,h4,38,NA,cal,lab
8,erica,h5,43,NA,cal,lab
8,erica,h6,40,NA,cal,lab
8,erica,h7,37,NA,cal,lab
8,erica,h8,38,NA,cal,lab
8,erica,h9,37,NA,cal,lab
8,erica,h10,45,NA,cal,lab
8,erica,h11,39,NA,cal,lab
8,erica,h12,52,NA,cal,lab
9,erica,h1,26,NA,cal,lab
9,erica,h2,34,NA,cal,lab
9,erica,h3,27,NA,cal,lab
9,erica,h4,33,NA,cal,lab
9,erica,h5,30,NA,cal,lab
9,erica,h6,20,NA,cal,lab
9,erica,h7,26,NA,cal,lab
9,erica,h8,27,NA,cal,lab
9,erica,h9,31,NA,cal,lab
9,erica,h10,27,NA,cal,lab
9,erica,h11,31,NA,cal,lab
9,erica,h12,31,NA,cal,lab
10,erica,h1,9,NA,cal,lab
10,erica,h2,14,NA,cal,lab
10,erica,h3,11,NA,cal,lab
10,erica,h4,12,NA,cal,lab
10,erica,h5,9,NA,cal,lab
10,erica,h6,9,NA,cal,lab
10,erica,h7,7,NA,cal,lab
10,erica,h8,8,NA,cal,lab
10,erica,h9,9,NA,cal,lab
10,erica,h10,10,NA,cal,lab
10,erica,h11,14,NA,cal,lab
10,erica,h12,12,NA,cal,lab
11,erica,h1,22,NA,cal,lab
11,erica,h2,26,NA,cal,lab
11,erica,h3,22,NA,cal,lab
11,erica,h4,21,NA,cal,lab
11,erica,h5,25,NA,cal,lab
11,erica,h6,26,NA,cal,lab
11,erica,h7,23,NA,cal,lab
11,erica,h8,22,NA,cal,lab
11,erica,h9,16,NA,cal,lab
11,erica,h10,28,NA,cal,lab
11,erica,h11,20,NA,cal,lab
11,erica,h12,26,NA,cal,lab
12,caluna,h1,67,NA,cal,lab
12,caluna,h2,43,NA,cal,lab
12,caluna,h3,78,NA,cal,lab
12,caluna,h4,58,NA,cal,lab
12,caluna,h5,69,NA,cal,lab
12,caluna,h6,74,NA,cal,lab
12,caluna,h7,66,NA,cal,lab
12,caluna,h8,47,NA,cal,lab
12,caluna,h9,51,NA,cal,lab
12,caluna,h10,68,NA,cal,lab
12,caluna,h11,43,NA,cal,lab
12,caluna,h12,42,NA,cal,lab
13,erica,h1,56,NA,cal,lab
13,erica,h2,42,NA,cal,lab
13,erica,h3,21,NA,cal,lab
13,erica,h4,27,NA,cal,lab
13,erica,h5,44,NA,cal,lab
13,erica,h6,31,NA,cal,lab
13,erica,h7,19,NA,cal,lab
13,erica,h8,31,NA,cal,lab
13,erica,h9,34,NA,cal,lab
13,erica,h10,36,NA,cal,lab
13,erica,h11,30,NA,cal,lab
13,erica,h12,47,NA,cal,lab
14,erica,h1,21,NA,cal,lab
14,erica,h2,14,NA,cal,lab
14,erica,h3,17,NA,cal,lab
14,erica,h4,19,NA,cal,lab
14,erica,h5,20,NA,cal,lab
14,erica,h6,23,NA,cal,lab
14,erica,h7,22,NA,cal,lab
14,erica,h8,23,NA,cal,lab
14,erica,h9,18,NA,cal,lab
14,erica,h10,23,NA,cal,lab
14,erica,h11,22,NA,cal,lab
14,erica,h12,15,NA,cal,lab
15,erica,h1,12,NA,cal,lab
15,erica,h2,12,NA,cal,lab
15,erica,h3,11,5,NA,cal,lab
15,erica,h4,18,NA,cal,lab
15,erica,h5,13,NA,cal,lab
15,erica,h6,14,NA,cal,lab
15,erica,h7,17,NA,cal,lab
15,erica,h8,16,NA,cal,lab
15,erica,h9,16,NA,cal,lab
15,erica,h10,19,NA,cal,lab
15,erica,h11,17,NA,cal,lab
15,erica,h12,16,NA,cal,lab
16,erica,h1,24,NA,cal,lab
16,erica,h2,13,NA,cal,lab
16,erica,h3,18,NA,cal,lab
16,erica,h4,14,NA,cal,lab
16,erica,h5,11,NA,cal,lab
16,erica,h6,23,NA,cal,lab
16,erica,h7,14,NA,cal,lab
