placette,date,ID_camp.x,T_type,T_value,flux,ID_camp.y,F_type
p01,2013-03-06,1,Tair,12.7,0.78704802017855,1,ER
p01,2013-03-06,1,Tair,12.7,-0.223570747066562,1,NEE
p01,2013-03-06,1,Tair,12.7,0.563477273111987,1,GPP
p02,2013-03-06,1,Tair,11.6,0.840301516920653,1,ER
p02,2013-03-06,1,Tair,11.6,-0.103635822656825,1,NEE
p02,2013-03-06,1,Tair,11.6,0.736665694263828,1,GPP
p03,2013-03-06,1,Tair,14.5,1.19190075407596,1,ER
p03,2013-03-06,1,Tair,14.5,0.62939411372563,1,NEE
p03,2013-03-06,1,Tair,14.5,1.82129486780159,1,GPP
p04,2013-03-06,1,Tair,12,1.22671215637163,1,ER
p04,2013-03-06,1,Tair,12,0.468424211934616,1,NEE
p04,2013-03-06,1,Tair,12,1.69513636830625,1,GPP
p05,2013-03-06,1,Tair,14.2,0.740672080571121,1,ER
p05,2013-03-06,1,Tair,14.2,0.360654394847724,1,NEE
p05,2013-03-06,1,Tair,14.2,1.10132647541885,1,GPP
p06,2013-03-06,1,Tair,16.2,0.996928223369991,1,ER
p06,2013-03-06,1,Tair,16.2,-0.149531582893983,1,NEE
p06,2013-03-06,1,Tair,16.2,0.847396640476008,1,GPP
p07,2013-03-06,1,Tair,18,0.608192435338225,1,ER
p07,2013-03-06,1,Tair,18,0.24368552649531,1,NEE
p07,2013-03-06,1,Tair,18,0.851877961833534,1,GPP
p08,2013-03-06,1,Tair,15.8,1.93630643354299,1,ER
p08,2013-03-06,1,Tair,15.8,-0.587070227288816,1,NEE
p08,2013-03-06,1,Tair,15.8,1.34923620625418,1,GPP
p09,2013-03-06,1,Tair,14.2,0.952790127708471,1,ER
p09,2013-03-06,1,Tair,14.2,-0.708450888919246,1,NEE
p09,2013-03-06,1,Tair,14.2,0.244339238789224,1,GPP
p10,2013-03-05,1,Tair,15,0.452666245045542,1,ER
p10,2013-03-05,1,Tair,15,0.0120599651458682,1,NEE
p10,2013-03-05,1,Tair,15,0.46472621019141,1,GPP
p11,2013-03-05,1,Tair,15.7,0.307092281423976,1,ER
p11,2013-03-05,1,Tair,15.7,-0.300328761977231,1,NEE
p11,2013-03-05,1,Tair,15.7,0.00676351944674441,1,GPP
p12,2013-03-05,1,Tair,13.1,0.260941793295605,1,ER
p12,2013-03-05,1,Tair,13.1,-0.330464483204098,1,NEE
p12,2013-03-05,1,Tair,13.1,-0.0695226899084924,1,GPP
p13,2013-03-05,1,Tair,10,0.551003332678173,1,ER
p13,2013-03-05,1,Tair,10,-0.618863754353751,1,NEE
p13,2013-03-05,1,Tair,10,-0.0678604216755784,1,GPP
p14,2013-03-05,1,Tair,13,0.640394308813266,1,ER
p14,2013-03-05,1,Tair,13,-0.415930806843593,1,NEE
p14,2013-03-05,1,Tair,13,0.224463501969672,1,GPP
p15,2013-03-05,1,Tair,12.9,1.28237692085145,1,ER
p15,2013-03-05,1,Tair,12.9,-0.449551958782629,1,NEE
p15,2013-03-05,1,Tair,12.9,0.832824962068825,1,GPP
p16,2013-03-05,1,Tair,14.5,0.63531969296268,1,ER
p16,2013-03-05,1,Tair,14.5,-0.38182887463581,1,NEE
p16,2013-03-05,1,Tair,14.5,0.253490818326869,1,GPP
p17,2013-03-05,1,Tair,12.9,1e-04,1,ER
p17,2013-03-05,1,Tair,12.9,-0.341274083891042,1,NEE
p17,2013-03-05,1,Tair,12.9,-0.341174083891042,1,GPP
p18,2013-03-05,1,Tair,10.5,0.663627020459541,1,ER
p18,2013-03-05,1,Tair,10.5,-0.530038264930745,1,NEE
p18,2013-03-05,1,Tair,10.5,0.133588755528796,1,GPP
p19,2013-03-05,1,Tair,11.6,0.762279974493662,1,ER
p19,2013-03-05,1,Tair,11.6,-0.509642800864753,1,NEE
p19,2013-03-05,1,Tair,11.6,0.252637173628909,1,GPP
p20,2013-03-06,1,Tair,15.2,0.522068030108159,1,ER
p20,2013-03-06,1,Tair,15.2,-0.405987733312787,1,NEE
p20,2013-03-06,1,Tair,15.2,0.116080296795372,1,GPP
p01,2013-04-18,2,Tair,13.9,1.94144243663821,2,ER
p01,2013-04-18,2,Tair,13.9,-0.1302787716708,2,NEE
p01,2013-04-18,2,Tair,13.9,1.81116366496741,2,GPP
