placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-05-15,25.00,16.00,14:50,15:03,7.3,7.58,98200,98200,5.51,camion,85.3,camion
p02,2013-05-15,13.5,13.00,14:39,14:55,8.76,6.12,98200,98200,4.70,camion,47.9,camion
p03,2013-05-15,25.00,13.00,13:44,14:00,5.98,4.81,98200,98200,3.67,camion,54.4,camion
p04,2013-05-15,32.00,27.50,14:04,14:18,3.55,5.50,98200,98200,4.18,camion,36.7,camion
p05,2013-05-15,18.00,15.00,13:14,13:22,11.28,10.58,98200,98200,4.18,camion,33.6,camion
p06,2013-05-15,4.00,0.00,12:54,13:09,21.02,7.56,98200,98200,3.44,camion,40.4,camion
p07,2013-05-15,11.00,7.50,12:26,12:42,9.60,15.80,98200,98200,3.49,camion,45.8,camion
p08,2013-05-15,52.00,47.50,12:09,12:24,10.73,9.80,98100,98200,2.92,camion,40.8,camion
p09,2013-05-15,22.50,15.00,11:34,11:48,4.45,4.12,98100,98100,3.21,camion,50.4,camion
p10,2013-05-15,31.00,28.00,11:29,11:43,8.90,4.80,98100,98100,3.84,camion,45.7,camion
p11,2013-05-14,37.00,19.00,14:22,14:40,4.84,7.29,98900,98800,4.65,camion,62.8,camion
p12,2013-05-14,47.00,39.00,14:09,14:21,5.90,3.41,98900,98900,4.74,camion,50.6,camion
p13,2013-05-14,70.00,65.00,13:34,13:50,7.04,3.53,98900,98900,4.50,camion,54.4,camion
p14,2013-05-14,67.00,61.00,13:25,13:38,24.50,8.25,98900,98900,4.62,camion,35.9,camion
p15,2013-05-14,52.00,55.50,12:44,13:04,4.67,4.70,99000,98900,4.46,camion,42.4,camion
p16,2013-05-14,68.50,62.50,12:27,12:41,5.82,5.40,99000,99000,4.39,camion,51.6,camion
p17,2013-05-14,9.00,9.00,11:58,12:13,5.88,5.14,99000,99000,4.57,camion,40.1,camion
p18,2013-05-14,64.00,59.00,11:45,11:55,2.05,1.95,99000,99000,4.20,camion,51.8,camion
p19,2013-05-14,20.00,17.00,11:03,11:23,6.12,6.85,99200,99100,3.86,camion,75.5,camion
p20,2013-05-14,17.50,16.00,11:04,11:15,7.76,7.16,99200,99100,4.36,camion,37.6,camion
