placette,date,Tair,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-07-05,21.4,22.4,18.9,17.3,16.4,16.0,15.6,15.7,14.3,13.4,12.7,12.1,11.7,11.3,11.3
p02,2013-07-05,29.5,19.4,19.7,19.0,18.7,18.4,18.0,17.6,16.6,15.8,14.8,14.0,13.4,12.7,12.1
p03,2013-07-05,36.8,31.4,24.7,21.4,19.7,19.0,18.5,18.0,16.8,15.9,15.0,14.4,13.7,13.2,12.8
p04,2013-07-05,18.7,20.8,19.2,18.1,17.4,17.0,16.5,16.0,14.8,13.7,13.0,12.7,,,
p05,2013-07-05,25.2,20.5,18.7,17.4,16.5,15.9,15.5,15.1,14.4,13.5,12.8,12.2,11.7,11.3,11.2
p06,2013-07-05,36.3,20.2,18.4,17.2,16.4,15.7,15.3,15.0,14.3,13.6,12.9,12.2,11.7,11.3,10.8
p07,2013-07-05,27.5,19.6,17.6,16.2,15.2,14.6,14.3,14.0,13.2,12.8,,,,,
p08,2013-07-05,36.5,27.4,22.7,17.8,16.2,15.7,14.5,14.0,13.2,12.4,11.7,11.4,11.2,11.0,10.9
p09,2013-07-05,28.6,20.2,19.8,17.6,16.3,15.7,15.2,14.8,14.1,13.5,12.8,12.3,11.9,11.4,11.1
p10,2013-07-05,30.0,24.5,19.7,16.6,15.3,14.6,14.2,13.8,13.2,12.5,11.9,11.2,10.9,,
p11,2013-07-04,19.3,19.2,18.2,16.9,16.2,15.8,15.5,15.0,14.3,13.5,12.8,12.3,11.9,11.5,11.0
p12,2013-07-04,21.4,17.8,15.8,15.1,14.6,14.4,14.0,13.5,13.0,,,,,,
p13,2013-07-04,19.6,15.7,15.5,14.8,14.2,13.8,13.2,12.9,12.3,,,,,,
p14,2013-07-04,20.6,18.2,15.7,14.9,14.4,13.8,13.3,12.8,,,,,,,
p15,2013-07-04,20.0,16.8,17.1,15.3,14.6,14.0,13.5,13.0,12.3,11.7,11.2,,,,
p16,2013-07-04,22.8,19.7,17.5,16.4,15.8,15.2,14.7,14.2,13.4,12.8,,,,,
p17,2013-07-04,20.8,18.8,16.9,16.4,16.0,15.7,15.3,15.0,14.2,13.2,12.5,12.0,,,
p18,2013-07-04,24.3,18.8,14.8,14.3,13.5,13.2,12.9,12.5,,,,,,,
p19,2013-07-04,23.0,18.1,17.9,16.5,15.8,15.4,15.2,14.8,13.8,12.9,12.1,11.4,,,
p20,2013-07-04,22.8,20.5,16.9,16.0,15.4,15.0,14.5,14.2,13.2,12.4,,,,,
