placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-07-05,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-07-05,Erica,24.00,21.00,8.00,23.00,20.00,12.50,8.00,6.50,15.00,15.00,,,,,,,,,,
p01,2013-07-05,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-07-05,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-07-05,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-07-05,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-07-05,Calluna,19.50,11.50,8.00,8.50,8.00,6.00,10.00,4.00,14.00,7.50,,,,,,,,,,
p02,2013-07-05,Erica,27.00,34.00,12.50,5.50,15.50,11.50,8.50,7.50,25.00,9.00,,,,,,,,,,
p02,2013-07-05,Sphagnum,16.00,,,,,,,,,,,,,,,,,,,
p02,2013-07-05,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-07-05,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-07-05,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-07-05,Calluna,21.00,14.50,8.00,2.50,17.50,8.00,23.00,18.50,10.50,7.00,,,,,,,,,,
p03,2013-07-05,Erica,14.00,16.00,7.00,11.00,6.00,9.00,19.00,8.50,15.00,4.00,,,,,,,,,,
p03,2013-07-05,Sphagnum,13.00,,,,,,,,,,,,,,,,,,,
p03,2013-07-05,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-07-05,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-07-05,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Erica,11.50,12.50,12.50,23.50,7.50,12.50,16.00,23.00,12.00,3.00,5.50,,,,,,,,,
p04,2013-07-05,Sphagnum,52.50,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-07-05,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-07-05,Calluna,6.50,10.00,15.00,,,,,,,,,,,,,,,,,
p05,2013-07-05,Erica,7.00,14.00,12.00,8.00,5.50,,,,,,,,,,,,,,,
p05,2013-07-05,Sphagnum,24.00,,,,,,,,,,,,,,,,,,,
p05,2013-07-05,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-07-05,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-07-05,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-07-05,Calluna,16.00,13.00,14.50,16.00,13.00,,,,,,,,,,,,,,,
p06,2013-07-05,Erica,16.50,11.50,13.50,21.00,11.00,23.00,13.50,13.00,5.00,5.50,2.00,,,,,,,,,
p06,2013-07-05,Sphagnum,2.00,,,,,,,,,,,,,,,,,,,
p06,2013-07-05,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
