placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-10-23,,,,,
p02,2013-10-23,,,,,
p03,2013-10-23,,,,,
p04,2013-10-23,,,,,
p05,2013-10-23,,,,,
p06,2013-10-23,,,,,
p07,2013-10-23,,,,,
p08,2013-10-23,,,,,
p09,2013-10-23,,,,,
p10,2013-10-23,,,,,
p11,2013-10-22,,,,,
p12,2013-10-22,,,,,
p13,2013-10-22,76.86,49.68,36.64,32.03,37.24
p14,2013-10-22,100,100,100,100,100
p15,2013-10-22,71.89,75.95,84.62,93.81,52.24
p16,2013-10-22,100,100,100,100,100
p17,2013-10-22,64.15,100,67.23,94.44,100
p18,2013-10-22,100,86.25,100,100,100
p19,2013-10-22,100,87.91,100,80.08,100
p20,2013-10-22,100,99.7,100,100,98.97
