placette,date,TairDeb,TairFin,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2014-03-19,19.2,18.1,14.6,11.0,8.2,7.6,7.6,7.8,8.0,8.0,7.9,8.0,8.2,8.3,8.4,8.5
p02,2014-03-19,18.2,17.3,13.4,11.3,9.5,9.2,9.3,9.2,9.2,8.8,8.7,8.6,8.5,8.6,8.7,8.8
p03,2014-03-19,17.1,16.9,18.0,11.8,9.3,8.6,8.6,8.6,8.5,8.4,8.3,8.2,8.3,8.4,8.5,8.7
p04,2014-03-19,19.7,16.9,13.5,10.2,8.9,8.7,8.6,8.4,8.3,8.4,8.2,8.2,8.2,8.3,,
p05,2014-03-19,16.1,15.7,17.8,11.4,9.4,8.6,8.5,8.4,8.4,8.4,8.3,8.4,8.6,8.8,8.9,9.0
p06,2014-03-19,17.5,19.5,21.4,12.7,9.9,9.0,8.7,8.6,8.5,8.5,8.5,8.5,8.7,8.9,9.1,9.3
p07,2014-03-19,19.7,20.9,20.1,13.3,11.4,8.7,7.3,7.2,7.2,7.4,7.5,,,,,
p08,2014-03-19,16.1,18.4,16.9,11.3,9.0,8.6,8.6,8.6,8.7,8.8,9.0,9.4,9.6,9.7,,
p09,2014-03-19,21.1,18.0,15.7,11.5,8.8,8.3,8.2,8.3,8.2,8.1,8.2,8.4,8.6,8.8,,
p10,2014-03-19,17.9,22.2,18.8,11.0,8.3,7.4,7.2,7.2,7.3,7.4,7.6,7.9,8.2,8.4,,
p11,2014-03-20,14.6,19.2,17.8,8.9,6.5,6.8,7.2,7.6,7.6,7.7,7.8,8.0,8.2,8.5,8.8,9.0
p12,2014-03-20,18.5,18.9,14.3,9.2,7.8,7.9,8.3,8.4,8.4,8.4,,,,,,
p13,2014-03-20,20.9,21.5,21.6,10.4,7.7,7.2,7.3,7.5,7.6,7.5,,,,,,
p14,2014-03-20,22.3,22.6,20.3,10.5,7.2,6.8,6.9,7.2,7.2,7.3,,,,,,
p15,2014-03-20,22.0,23.4,22.1,12.2,9.0,8.5,8.7,8.9,8.9,8.9,8.8,,,,,
p16,2014-03-20,30.4,24.5,22.7,9.0,7.9,7.9,8.1,8.2,8.2,8.2,,,,,,
p17,2014-03-20,25.0,25.0,23.8,12.1,8.7,7.4,7.4,7.6,7.7,7.8,7.8,8.0,8.2,8.2,,
p18,2014-03-20,24.7,24.5,18.9,11.5,8.8,7.6,7.2,7.5,7.7,7.8,7.8,7.8,,,,
p19,2014-03-20,26.1,24.7,25.3,12.5,9.4,8.2,8.0,8.2,8.4,8.5,8.6,8.8,9.0,9.2,9.4,9.4
p20,2014-03-20,23.2,24.0,19.6,10.5,8.6,8.2,8.2,8.2,8.2,8.0,7.9,8.0,,,,
