placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2014-03-19,,,,,,,,
p02,2014-03-19,,,,,,,,
p03,2014-03-19,,,,,,,,
p04,2014-03-19,,,,,,,,
p05,2014-03-19,,,,,,,,
p06,2014-03-19,,,,,,,,
p07,2014-03-19,,,,,,,,
p08,2014-03-19,,,,,,,,
p09,2014-03-19,,,,,,,,
p10,2014-03-19,,,,,,,,
p11,2014-03-20,,,,,,,,
p12,2014-03-20,,,,,,,,
p13,2014-03-20,,,,,,,,
p14,2014-03-20,,,,,,,,
p15,2014-03-20,,,,,,,,
p16,2014-03-20,,,,,,,,
p17,2014-03-20,,,,,,,,
p18,2014-03-20,,,,,,,,
p19,2014-03-20,,,,,,,,
p20,2014-03-20,,,,,,,,
